timestamp,source_ip,destination_ip,protocol,source_port,destination_port,packets,bytes,scenario
2026-09-10 00:00:00.769144893,192.168.10.10,52.95.110.20,TCP,56783,443,8,4017,normal
2026-09-10 00:00:11.704316232,192.168.10.10,192.168.10.1,UDP,56487,53,20,13674,normal
2026-09-10 00:00:16.646163008,192.168.10.10,52.95.110.20,TCP,51546,443,1,564,normal
2026-09-10 00:00:24.952600642,192.168.10.21,17.253.144.10,TCP,52268,443,20,14569,normal
2026-09-10 00:00:25.811632434,192.168.10.10,162.159.200.1,UDP,52860,123,11,5324,normal
2026-09-10 00:00:26.075258041,192.168.10.10,52.95.110.20,TCP,60019,443,34,21642,normal
2026-09-10 00:00:32.854135571,192.168.10.12,34.231.20.5,TCP,52247,8883,4,832,normal
2026-09-10 00:00:33.746304732,192.168.10.11,45.57.40.1,TCP,54067,443,20,21349,normal
2026-09-10 00:00:34.572932519,192.168.10.13,54.239.28.85,TCP,64512,443,7,1900,normal
2026-09-10 00:00:34.743704335,192.168.10.12,34.231.20.5,TCP,59418,8883,2,372,normal
2026-09-10 00:00:59.285196438,192.168.10.20,140.82.112.3,TCP,55972,443,18,11592,normal
2026-09-10 00:01:08.072210952,192.168.10.10,192.168.10.1,UDP,58971,53,3,1287,normal
2026-09-10 00:01:11.001257186,192.168.10.21,17.253.144.10,TCP,60071,443,11,5599,normal
2026-09-10 00:01:11.276603950,192.168.10.10,52.95.110.20,TCP,61836,443,29,16170,normal
2026-09-10 00:01:12.925855507,192.168.10.20,151.101.1.69,TCP,56632,443,25,18066,normal
2026-09-10 00:01:13.972466051,192.168.10.10,52.95.110.20,TCP,61728,443,15,8519,normal
2026-09-10 00:01:14.300812295,192.168.10.21,157.240.1.35,TCP,60229,443,4,3029,normal
2026-09-10 00:01:16.771505477,192.168.10.11,45.57.40.1,TCP,60106,443,15,13426,normal
2026-09-10 00:01:19.095046678,192.168.10.21,17.253.144.10,TCP,59804,443,2,1239,normal
2026-09-10 00:01:20.255355279,192.168.10.11,142.250.185.46,TCP,58372,443,2,1706,normal
2026-09-10 00:01:32.709007771,192.168.10.10,52.95.110.20,TCP,59621,443,34,15554,normal
2026-09-10 00:01:39.508215031,192.168.10.12,34.231.20.5,TCP,65427,8883,7,1068,normal
2026-09-10 00:01:47.184824916,192.168.10.10,52.95.110.20,TCP,58705,443,21,9075,normal
2026-09-10 00:01:47.309582058,192.168.10.21,17.253.144.10,TCP,60096,443,6,3584,normal
2026-09-10 00:01:49.097309428,192.168.10.13,54.239.28.85,TCP,63589,443,6,1928,normal
2026-09-10 00:02:16.213785996,192.168.10.13,54.239.28.85,TCP,49495,443,2,621,normal
2026-09-10 00:02:22.091376892,192.168.10.21,157.240.1.35,TCP,57188,443,22,11186,normal
2026-09-10 00:02:24.935457816,192.168.10.13,54.239.28.85,TCP,60577,443,3,922,normal
2026-09-10 00:02:29.870264794,192.168.10.11,142.250.185.46,TCP,55744,443,28,24440,normal
2026-09-10 00:02:34.442470577,192.168.10.20,13.107.42.14,TCP,50882,443,7,5578,normal
2026-09-10 00:02:37.635676674,192.168.10.10,52.95.110.20,TCP,56950,443,11,5365,normal
2026-09-10 00:02:39.711384132,192.168.10.10,192.168.10.1,UDP,61264,53,68,41932,normal
2026-09-10 00:02:42.998278001,192.168.10.10,192.168.10.1,UDP,52105,53,10,4698,normal
2026-09-10 00:02:44.592069246,192.168.10.12,34.231.20.5,TCP,63981,8883,7,993,normal
2026-09-10 00:02:48.604829062,192.168.10.10,52.95.110.20,TCP,61575,443,1,548,normal
2026-09-10 00:02:53.132027588,192.168.10.20,140.82.112.3,TCP,65140,443,16,10109,normal
2026-09-10 00:02:58.679588346,192.168.10.10,192.168.10.1,UDP,60928,53,3,1194,normal
2026-09-10 00:03:00.985921623,192.168.10.10,52.95.110.20,TCP,52437,443,5,2558,normal
2026-09-10 00:03:06.496114448,192.168.10.10,192.168.10.1,UDP,58841,53,38,20042,normal
2026-09-10 00:03:11.570881544,192.168.10.13,192.168.10.1,UDP,49978,53,11,5145,normal
2026-09-10 00:03:20.108255308,192.168.10.12,34.231.20.5,TCP,63564,8883,1,213,normal
2026-09-10 00:03:22.959032847,192.168.10.20,192.168.10.1,UDP,64861,53,16,14242,normal
2026-09-10 00:03:24.060929638,192.168.10.21,192.168.10.1,UDP,63021,53,3,1570,normal
2026-09-10 00:03:25.836274883,192.168.10.10,52.95.110.20,TCP,58380,443,1,634,normal
2026-09-10 00:03:26.340443007,192.168.10.10,52.95.110.20,TCP,53989,443,8,4113,normal
2026-09-10 00:03:27.494198016,192.168.10.12,34.231.20.5,TCP,50339,8883,1,156,normal
2026-09-10 00:03:31.948049930,192.168.10.12,34.231.20.5,TCP,57216,8883,1,153,normal
2026-09-10 00:03:32.492508583,192.168.10.10,192.168.10.1,UDP,50683,53,4,2081,normal
